Station;Depth;C5-1;C5-2;C5-3;C5-4;C5-5;C4-1;C4-2;C4-3;C4-4
1;5;0,190944406;0,15741183;0,113949542;0,180441775;0,048864775;0,155074984;0,155561254;0,087676478;0,19881181
1;23;0,107370824;0,086594453;0,061098563;0,052912191;0,027285277;0,087178717;0,087169668;0,049501217;0,070434744
1;45;0,086587134;0,072463728;0,050996547;0,054245733;0,022298053;0,071377591;0,070533206;0,040631309;0,067868403
1;75;0,057389483;0,054787025;0,036185721;0,056383771;0,014524847;0,050641578;0,047044128;0,027034778;0,065169558
